Account,trade_date,daily_volume,daily_fee,total_trades,avg_trade_size,buy_volume,sell_volume,net_flow,value,classification
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-05-01,477,0,1,477,477,0,477,63,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-05,50005.83,12.5,2,25002.92,25007.21,24998.62,8.59,75,"Extreme Greed"
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-14,113203.35,28.3,5,22640.67,51407.47,61795.88,-10388.41,72,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-15,10609.95,2.65,1,10609.95,10609.95,0,10609.95,70,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-16,15348.77,3.84,1,15348.77,15348.77,0,15348.77,67,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-17,116278.02,29.06,5,23255.6,50312.21,65965.81,-15653.6,73,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-18,31164.18,7.79,1,31164.18,31164.18,0,31164.18,65,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-19,91602.41,22.9,3,30534.14,29718.92,61883.49,-32164.57,73,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-20,141636.79,35.41,6,23606.13,70737.04,70899.75,-162.71,74,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-21,125233.97,31.31,6,20872.33,62348.4,62885.57,-537.17,70,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-22,88874.28,22.21,3,29624.76,59195.32,29678.96,29516.36,74,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-23,78438.25,19.61,3,26146.08,24316.62,54121.63,-29805.01,70,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-24,402954.94,100.74,10,40295.49,200973.24,201981.7,-1008.46,71,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-25,59948.51,14.98,2,29974.26,30096.86,29851.65,245.21,73,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-27,171411.06,42.86,6,28568.51,86058.02,85353.04,704.98,73,Greed
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-12-28,100117.25,25.03,4,25029.31,50544.01,49573.24,970.77,73,Greed
